ts,o,h,l,c
2021/09/03,12.53200000,12.92800000,12.07800000,12.44200000
2021/09/04,12.45300000,12.90800000,12.24000000,12.36900000
2021/09/05,12.37300000,13.12000000,12.20300000,12.93300000
2021/09/06,12.93600000,13.92000000,12.40000000,13.57400000
2021/09/07,13.57000000,14.30000000,9.00000000,10.74600000
2021/09/08,10.75000000,11.34700000,9.86500000,11.07300000
2021/09/09,11.08300000,11.57900000,10.76700000,11.33300000
2021/09/10,11.33500000,11.85300000,10.20800000,10.56100000
2021/09/11,10.56000000,11.07500000,10.47400000,10.82600000
2021/09/12,10.82600000,11.44300000,10.57500000,10.94700000
2021/09/13,10.94800000,12.94200000,10.05700000,12.85400000
2021/09/14,12.86200000,13.98300000,12.19400000,13.81900000
2021/09/15,13.81800000,15.35400000,13.05000000,15.01500000
2021/09/16,15.01500000,15.85000000,13.85000000,14.62000000
2021/09/17,14.61400000,14.96000000,12.43900000,12.78200000
2021/09/18,12.78400000,13.59900000,12.35000000,12.58600000
2021/09/19,12.57800000,13.35000000,12.01000000,12.82500000
2021/09/20,12.82600000,12.88400000,10.07400000,10.64000000
2021/09/21,10.63900000,11.05900000,9.24100000,9.51800000
2021/09/22,9.52400000,10.49100000,9.33500000,10.06400000
